session_id,user_id,n_keys,wpm,dwell_mean_ms,dwell_std_ms,flight_mean_ms,flight_std_ms,dwell_cv,flight_cv,digraph_var,iqr_delay_ms,burstiness,pauses_over_500ms,backspace_rate,self_report_valence_1to9,self_report_arousal_1to9,label_emotion
S540729,U30,201,1394.488192103888,94.53733277610728,17.668215205318333,120.59536013496351,35.26105147649974,0.18689140772737856,0.2923914438916851,245.8411157786993,46.67167478989397,5.576393393539162,0.0,0.04975124378109453,8,7,happy
S579165,U29,416,1395.8298127146918,94.30814555793077,19.97662358923888,120.61776966990234,35.26858443000653,0.21182288625289336,0.2923995736824428,288.481221298769,46.42726822899883,6.010985513527525,0.0,0.052884615384615384,7,5,happy
S163209,U29,416,1391.4099243782907,93.24986680780961,19.292602309817948,122.35877213016973,36.18831444874371,0.20689147309540398,0.29575578292208804,287.9205244727436,48.30151019304809,4.8911970250619605,0.0,0.052884615384615384,7,5,happy
S874987,U30,193,1395.5277643602499,95.75520759545157,18.898071246167586,119.2172262475459,34.64601901430989,0.19735815649848015,0.2906125239180616,345.0531541078405,42.78938317472239,5.093063014904099,0.0,0.046632124352331605,6,5,happy
S516741,U24,363,1402.2531150948478,93.57017445835521,19.737550641536053,120.37122939419257,34.602448356997265,0.21093848286368796,0.2874644425511425,204.94208610239983,43.14089848388173,6.899825832128283,0.0,0.04132231404958678,6,6,happy
S521833,U25,331,1389.085973426277,92.60024108835398,19.931888907636086,123.36911267311925,34.78929370872238,0.21524662002357198,0.28199354729007936,242.84653574125673,50.05493187866972,7.14737768179981,0.0,0.03927492447129909,7,7,happy
S233598,U27,209,1377.4853148134216,99.03849726748274,19.784738234762404,118.74966843839601,37.598646661212626,0.19976815865176012,0.31662106644716864,213.6766681964004,53.69706434836833,6.3546211607750225,0.0,0.04784688995215311,6,5,happy
S159268,U17,223,1391.6499443619991,96.9883856974181,20.128221712216675,118.58306689049168,34.48913506110105,0.20753228922700281,0.2908436757918469,212.5547810085099,44.45525314888002,6.151881483289292,0.0,0.08071748878923767,8,6,happy
S448313,U31,273,1403.9297437909497,97.14725415009606,18.663682979386277,116.5386523753455,33.584579463657946,0.19211745244544126,0.28818403833510414,249.5230349107819,42.06901781882634,8.122197504272245,0.0,0.054945054945054944,8,7,happy
S576432,U16,355,1382.545437245744,95.14707290836505,20.322079433656373,121.84398714507444,32.11781775813944,0.21358596552127582,0.26359788866641504,205.30961404595504,40.50530252716382,6.5833470661646025,0.0,0.056338028169014086,7,5,happy
S302845,U21,255,1426.3729872888152,93.30035176801164,21.746881537443745,117.02331719758367,35.91286842614853,0.23308466822844007,0.30688643328673365,235.04702258484883,45.83665000427429,6.737872590632092,0.0,0.043137254901960784,8,6,happy
S428234,U08,387,1414.7582756915697,94.2956783959999,20.564995818404608,117.75468042119977,34.63570275401742,0.21809054421392224,0.29413440408591895,215.80786087086574,45.88056685099676,4.735554655710736,0.0,0.059431524547803614,7,5,happy
S850605,U20,192,1372.9446673960967,96.16784857812938,21.359638643682054,122.34059325804077,34.43778502854324,0.22210789738452869,0.2814910743150237,252.66719474030836,42.858147667416105,5.143337945038411,0.0,0.052083333333333336,7,6,happy
S932658,U07,281,1395.0122564311184,94.95380909677878,19.75634882819338,120.0980649043104,34.18412254040519,0.20806273088062557,0.28463508190279174,309.3495804592724,40.98407054492485,4.938213910062868,0.0,0.03558718861209965,8,5,happy
S369239,U04,295,1382.8664895988686,93.97024516519966,18.184074277410588,122.9704372914428,35.99706221950339,0.19350885214189867,0.2927293991334642,264.7494662503739,47.03676102252123,4.855394222951139,0.0,0.05084745762711865,6,7,happy
S650927,U25,391,1379.7360249606495,94.67452605357738,20.444671401556054,122.75837021986453,35.18860034016878,0.21594691047078687,0.2866492954993193,234.62691081500407,46.047478742924085,5.443952549165834,0.0,0.056265984654731455,6,6,happy
S377662,U20,311,1374.5794624423997,96.33760644869074,20.81880200006412,121.91096207491417,34.41784043745998,0.21610254569851892,0.282319488351755,221.97528602523315,47.61722480188294,6.073495148143459,0.0,0.04180064308681672,7,6,happy
S703701,U09,417,1397.3652124430291,94.22215257994924,19.41093551417817,120.46760592313147,34.83607794256458,0.20601243956624354,0.2891738212577491,271.8869993173088,47.3384077438773,6.418347322952909,0.0,0.047961630695443645,6,5,happy
S335935,U20,274,1358.9468748083302,95.04079735869169,20.143584726577586,125.71838429976194,35.606239892809796,0.21194671432052553,0.2832222199730992,239.89643216038425,50.52687853324366,6.632309802091687,0.0,0.0364963503649635,6,6,happy
S411638,U24,238,1353.1567242034002,95.07675299126733,20.33558706881662,126.6270560605697,33.0978331704955,0.21388600713661746,0.26138042058455313,233.08777033539627,42.90681643191917,6.000062204610364,0.0,0.03361344537815126,6,5,happy
S621657,U05,267,1406.908134855739,95.6258470214155,18.812992569276783,117.60769152142711,33.19336746931502,0.19673543456366557,0.2822380665746464,255.23014332277475,50.33296501415259,6.995659953047865,0.0,0.04119850187265917,8,6,happy
S664414,U06,191,1375.797098308868,96.94627106362566,20.06040641548578,121.10913868302991,37.0652188413852,0.206922929529906,0.3060480756814999,279.2222672413963,54.48106333227095,7.78072837311791,0.0,0.020942408376963352,8,7,happy
S907595,U05,312,1345.455796419717,96.51254359683121,21.143264307156446,126.46022206243876,34.85341721376825,0.219072708263495,0.2756077495780424,241.21482844061632,46.19974114796176,3.5515716837103315,0.0,0.08012820512820513,8,6,happy
S953462,U12,240,1426.9591669964025,95.83898919480583,20.29735569889519,114.3982810358961,31.998612674926694,0.21178599513020782,0.2797123556855379,176.57936271037903,43.12437581508246,7.376908152806442,0.0,0.058333333333333334,7,6,happy
S845915,U34,360,1392.166764000665,94.83059926345481,20.16564197214093,120.66082587148449,35.367128747736785,0.21264910407364926,0.29311193995478046,222.9864792575239,48.945332007227236,5.692218181369733,0.0,0.03333333333333333,8,6,happy
S692587,U01,310,1391.487352315239,94.32542484740695,19.57711139521031,121.27121676118709,33.35457772573962,0.20754861615392442,0.2750411731369283,187.75391518747108,40.96936494699072,6.138411733390327,0.0,0.054838709677419356,6,5,happy
S861201,U13,393,1362.6453144316238,97.02293171624743,18.873571216978174,123.1370738425973,35.4406160618057,0.19452691114483828,0.28781434344548784,302.97883828356066,48.25090723448224,5.98158486846038,0.0,0.05343511450381679,8,6,happy
S421898,U10,378,1376.2212214733515,96.09417426358605,20.03818827923887,121.89403527646648,35.730950506681,0.2085265671181499,0.29313124654245826,248.80981544809424,44.56540665492035,5.342473608659407,0.0,0.06084656084656084,6,6,happy
S315275,U22,227,1356.0846696729814,97.15053577731545,20.924195797562763,124.07458881047646,34.148202298128425,0.2153791086188589,0.27522317523284073,190.81098084053986,50.45804361277109,5.745134462647987,0.0,0.04405286343612335,8,7,happy
S818498,U18,249,1360.5570228380145,95.56091735661936,18.817337076923327,124.93700736411283,34.44732700433473,0.19691457132731136,0.2757175614423229,236.0163399528502,50.50334553326911,5.212365330459685,0.0,0.040160642570281124,7,7,happy
S320705,U24,372,1378.379543202034,96.46903318432415,22.17024477479605,121.17784171276502,33.877008310197404,0.22981721743220115,0.27956438100703324,222.48144997100462,46.383462640486925,6.542252118173034,0.0,0.056451612903225805,6,5,happy
S956798,U19,298,1409.395050769998,93.0564675466761,20.29840594359452,119.8008146156958,35.07426261367262,0.21812998578968262,0.29277148678985143,288.92897741647164,44.142790006761345,6.00513073009625,0.0,0.050335570469798654,7,6,happy
S406666,U11,319,1396.1222496202038,93.50504770004348,19.413341803483785,121.37584835444672,34.17111572162134,0.20761811560976037,0.28153142643199863,248.26930982952453,50.109295584040254,5.306979717276941,0.0,0.06269592476489028,7,7,happy
S903634,U26,220,1385.687712685588,93.64968968028286,20.312335019703657,122.8493073546067,36.41375725861078,0.2168969816029219,0.29640995169392226,296.4996837803009,49.48411373716496,7.046031446383149,0.0,0.045454545454545456,6,6,happy
S458489,U33,276,1372.410933773207,95.51685659981244,20.94064146586772,123.07656364874371,34.12804194184578,0.21923503569221142,0.27729115056580583,198.791537218645,47.30342442193414,4.435490418574397,0.0,0.03985507246376811,7,5,happy
